userId,gender,sport,duration,calories,distance,avg_heart_rate,avg_speed
13577416,male,run,1837,459,5.42,161.454,11.22002871
3235195,male,run,2814,868,9.99,160.83,12.65565386
3714939,male,bike,1619,296,15.06,128.952,33.60303917
1520156,male,run,3978,658,12.95,144.386,11.71038992
11884453,male,run,2929,617,10.33,149.358,12.74155562
260784,male,bike,7959,1645.5,65.62,132.01,30.01083141
11737814,male,bike,905,149.995,4.62,113.452,18.36029813
732008,male,run,4404,825,12.15,151.236,9.934578949
3680369,male,run,4291,770,10.19,154.626,8.451369914
14370069,male,run,2707,471,7.52,133.214,10.17249698
764981,male,bike,1220,195,8.81,149.896,26.63894366
16786,male,run,2828,590,9.05,146.042,11.54261639
3714939,male,bike,2368,371,18.77,123.038,28.29935783
4007546,male,run,2364,620.846,6.71,149.4,10.27503748
2175400,male,run,3542,560,8.91,152.5,9.157783257
3060590,male,run,3521,773,11.95,144.964,12.21995269
3445572,male,bike,3473,499,22.96,137.378,23.65849393
171814,male,mountain bike,8712,1441.81,49.9,114.052,22.75287066
1682336,male,run,4126,500,9.98,125.068,8.734514558
1707239,male,run,4916,632,13.6,125.972,9.972016129
3714939,male,bike,1742,266,15.05,120.994,30.41936922
3714939,male,bike,1830,295,15.08,125.742,29.1352504
11215534,male,run,3615,555,11.09,143.918,11.12777964
3324472,male,bike,10098,1626,85.77,127.386,30.5722077
9221677,male,run,4477,1016,14.13,156.916,11.55106249
7178673,female,run,4423,945,15.42,173.494,12.65594171
3021311,male,run,4079,859,12.85,141.402,11.33386011
4443471,male,run,7170,1443,22.5,140.494,11.16184865
860533,male,run,7656,1483,20.85,155.132,9.813537637
2282039,male,run,3989,964,15.77,151.08,14.35575138
6788906,male,bike,2382,358,16.55,133.824,25.84014356
65547,male,bike,10954,1729,100.01,152.656,32.85767843
3714939,male,bike,1780,289,15.07,125.38,30.4433028
432096,female,run,3232,374,8.43,134.064,9.313837831
11782156,unknown,bike,4993,759,29.5,152.438,24.6436019
857962,male,bike,5090,804,33.88,151.688,25.30543597
14255438,female,run,3047,435,8.07,161.382,9.79517879
407769,male,run,3176,277,5.82,143.252,7.242297489
3672721,male,bike,4098,640,28.86,151.572,26.27555892
12175120,male,run,3854,512,13.14,152.812,12.31535376
2849785,male,bike,1941,469,18.22,148.812,34.49126461
12913419,male,run,1284,273.065,3.23,131.03,9.782361019
860533,male,run,2803,533,8.35,140.65,10.75063322
843368,male,bike,5532,2231,46.54,152.954,29.94413643
5306319,male,run,3304,689,13.29,174.586,14.48944304
3672721,male,bike,5075,506,31.99,120.886,22.51644203
2479025,male,run,5161,1290,19.94,146.034,13.90326057
6800874,male,run,1778,355,5.06,138.88,10.37125985
3324472,male,bike,9890,1523,82.55,128.88,30.04315746
8875079,male,run,7079,1547,21.52,147.89,10.87164768
431375,male,run,1697,437,6.1,144.232,12.92367177
2661450,male,run,1988,535.227,6.11,156.752,11.10850043
2358,male,run,3522,771,10.96,143.476,12.25488246
80118,male,run,2656,320,5.22,111.742,7.249066322
1041230,male,bike,3393,639.216,21.58,139.918,22.87263581
6919744,male,mountain bike,2928,669.343,17.69,142.154,23.90407769
848177,male,run,1909,315,3.58,133.584,6.832552941
1956196,male,run,9764,2163,34.07,157.228,14.11354165
10122140,male,run,3877,774,12.01,146.574,11.15292836
4146688,male,run,2917,508,10.36,145.036,12.94953325
3445572,male,run,3817,684,10.95,151.83,10.19373764
342794,male,bike,1422,269,7.69,154.932,19.01461916
6539051,male,bike,2467,549,16.24,150.748,24.93643117
659522,unknown,run,2820,404,7.14,125.904,8.977331364
4362441,male,run,5456,841,15.42,134.838,10.15637995
13577416,male,bike,5281,1089.84,26.93,139.524,18.38377225
203045,male,run,2948,588,8.18,130.926,9.98507575
2145516,male,bike,1891,167,10.12,154.788,19.32376201
9732499,male,run,1285,294,4.9,159.056,13.68374197
171814,male,mountain bike,1219,135,4.92,139.078,14.55379967
13165320,male,run,4165,837,13.72,133.878,11.967193
3445572,male,bike,3342,352,21.78,117.694,23.18244924
11825035,male,run,4281,785.285,11.94,123.094,10.14762664
885462,male,run,3300,928,12.52,157.624,13.66002537
2486861,male,mountain bike,7408,649,38.05,114.768,19.52250768
1023513,male,run,3303,818,8.41,153.096,9.178739505
8875079,male,run,3323,662,9.89,134.768,10.67870805
1356350,male,bike,3748,657,21.17,139.874,20.27098773
508935,male,bike,8536,2903,76.49,150.054,32.38855464
1707239,male,run,8889,1510,23.56,139.45,9.551093134
14204020,male,run,2661,313,5.36,122.818,7.210818953
80118,male,run,2928,517.355,6.91,117.01,8.616838057
4457345,male,run,1979,490.985,6.06,149.738,11.3233059
6080660,male,bike,1706,251,9.02,125.452,19.657013
13469928,male,run,3116,625,11.09,154.614,13.14435764
5453063,male,run,3207,746.653,8.43,140.284,9.464767402
982359,male,run,1955,615.808,5.27,170.116,9.70716196
860533,male,run,3722,845,11.23,152.14,10.88501749
10943750,male,run,1556,276,5,149.502,11.7880803
1616449,male,run,2639,622,9.42,129.91,13.14776537
4446822,male,bike,3230,704,26.47,154.734,29.87007355
2587574,male,run,3250,741,11.1,134.018,12.35820345
1663599,male,bike,4553,747,26.63,135.552,21.09953616
993057,male,run,2427,670,7.31,146.364,10.76610341
1520156,male,run,2905,556,9.96,150.738,12.34071702
2600099,male,bike,2574,319,16.96,99.5,23.58353226
4330976,male,bike,2432,407,20.36,145.8,30.07460584
797841,male,bike,2035,200,12.82,111.774,23.86410035
11784007,male,bike,3906,621,28.53,146.706,26.36539297
1295505,male,run,2526,791,9.8,166.846,13.96047667
885462,male,run,3649,982,13.69,158.082,13.61321609
843607,male,bike,3606,955.59,32.49,152.218,34.49572241
2445737,male,bike,2910,750,20.95,129.972,25.55688769
3432842,male,run,1212,304,4.03,156.57,12.0198349
13657138,male,run,6264,1361,17.75,137.542,10.24011017
1593645,male,bike,3663,591,25.08,124.868,24.66694137
1413935,male,run,1652,429.961,6.01,152.926,13.10866802
993057,male,bike,4519,1206,38.91,140.328,31.98822243
3235195,male,run,2906,864,9.79,154.91,11.0703376
434265,male,bike,4839,801,32.87,138.26,25.02856557
1520156,male,bike,7630,1114,63.97,150.282,30.04056698
6692748,male,bike,2281,309,14.12,120.368,22.85574596
7430612,male,bike,2975,498,20.6,138.21,25.08205422
11782156,unknown,bike,4424,458,18.13,123.596,17.68305409
4572860,male,run,4479,1037,11.09,155.262,8.926121432
8662931,male,run,3256,480,9.97,141.024,11.53418731
7516129,male,run,4743,772.438,15.07,115.536,11.54365872
797841,male,bike,1878,157,9.86,100.054,19.72718166
6692748,male,bike,2065,448,14,150.22,24.99402243
3709276,male,run,5207,1400.25,20.78,155.654,14.43846922
12635957,male,run,2570,608,5.84,148.232,8.17539494
2368480,male,run,2177,384,7.07,142.696,12.18323339
4774109,male,bike,1364,302,9.96,148.888,26.29869768
2461936,male,run,5477,1138.77,18.38,133.356,12.09273053
1731481,male,bike,6427,2422,60.47,161.63,34.02370688
1956196,male,run,4104,906,15.56,161.398,14.38783966
8994885,male,run,3225,764,10.01,150.096,11.28565888
3709276,male,run,5605,1170.31,20.03,131.25,12.90746128
2600099,male,bike,2018,514,17,132.164,29.5859985
10099521,female,run,4321,583,9.55,134.062,7.923163117
1483178,male,bike,3036,552,16.1,140.594,19.90981226
4101,male,run,1476,346,5.03,151.118,12.25112097
3992841,male,run,1698,507,5.99,161.938,12.70119436
1655221,male,mountain bike,5135,645,31.4,128.888,22.13591482
65547,male,bike,2552,466,19.43,145.602,27.33595779
478585,male,run,4403,1006.74,12.98,148.098,10.64390517
3537163,male,bike,1195,227.802,9.81,127.65,29.57497779
10841339,male,run,2596,685,9.93,162.184,13.85892459
9656255,male,bike,11412,1122,87.4,132.988,27.59510347
6670535,female,run,3465,626,10.19,161.074,10.49246198
2486861,male,bike,6490,1868,50.12,144.202,27.65075833
80118,male,run,4010,939.847,11.52,139.928,10.23537641
3908642,male,run,3387,810,11.17,140.846,12.32804698
5453063,male,run,4290,1073.14,10.34,147.174,8.686750656
907015,male,run,2679,250,5.42,100.306,7.378838936
5547218,male,run,4717,841,13.9,151.478,10.69542394
2600099,male,bike,2381,409.759,16.92,115.814,26.34141861
5844,male,bike,4878,467,38.36,99.294,28.57885829
6113340,male,run,4088,1087,13.35,157.062,11.85502284
10503628,male,bike,3730,503,24.62,132.54,23.90432835
68009,male,run,1780,180,2.59,105.39,5.254792813
4124709,male,run,2580,616,8.98,155.224,12.5255108
12175120,male,run,4616,928,15.03,155.088,11.69312798
171814,male,mountain bike,8965,1769.76,38.97,126.242,17.3257604
8467445,male,bike,4831,1016.97,39.04,129.218,29.09410766
8994885,male,run,8640,1545,24.78,141.262,10.30039479
1063624,male,run,3583,954.598,10.05,157.9,10.24113241
10503628,male,bike,3729,615,24.07,143.95,23.26614949
3235195,male,run,2744,684,8.4,142.592,11.14036998
478585,male,run,3601,796.436,11.74,144.278,11.83191547
885462,male,run,608,151,2.09,143.058,12.44241042
10841339,male,run,2877,681,10.28,155.604,12.83361031
11675398,male,bike,2537,709.614,17.6,156.778,26.02796897
5298016,male,run,3634,999,11.71,167.98,11.62050947
6692748,male,bike,2226,515,13.67,149.222,22.38769402
1638160,male,run,5175,1135,15.05,150.59,10.51948972
2612870,female,run,3107,496,7.44,177.49,8.640312276
3559941,male,run,2493,470,7.74,151.948,11.18000051
2145516,male,run,3436,599.59,10.01,121.18,10.32010941
3702346,male,run,3763,928,11.39,153.81,10.75779572
2486861,male,mountain bike,5825,972.847,31.81,118.742,19.57422625
11784007,male,bike,4707,739,35.68,146.066,27.31498184
82119,male,bike,4252,1022,33.07,155.68,28.58979191
2898275,male,run,3073,723.805,10.86,148.224,12.78024112
3041144,male,run,3243,430,8.17,126.712,9.187836112
797841,male,mountain bike,2705,267,12.91,110.754,17.55041587
6601602,male,run,7522,1043,22.91,145.274,11.06187284
2122136,male,run,2955,697,9.95,145.284,12.26237202
65547,male,bike,2352,427,19.48,146.336,29.72323135
7313790,male,run,2937,708.86,10.69,112.3,13.27396523
6692748,male,bike,1989,477,13.56,149.298,25.06516384
993057,male,bike,6343,731,31.95,119.116,20.17509623
3714939,male,bike,7633,2701,63.64,112.758,29.8244627
14370069,male,run,3130,468,7.52,131.534,9.287701716
538524,male,bike,2272,344,13.16,135.352,21.55140303
2568526,male,run,3406,939.887,10.92,160.872,11.56683094
4009109,male,mountain bike,4554,1104,15.22,148.404,12.81743793
7382493,male,run,4134,1104,14.42,156.008,13.46299373
1543833,male,run,7333,1906,21.2,162.324,10.42662201
3089500,male,bike,4278,798.995,30.39,127.464,25.64861035
2145516,male,run,13095,2594.65,40.32,129.69,11.05666046
8994138,male,run,4201,917,15.37,140.784,13.19680211
10927933,male,bike,2655,428,18.76,145.314,26.63935588
3191096,male,run,1935,490,6.44,142.52,11.96195793
3381703,male,run,2183,498,5.86,140.846,9.654087262
8467445,male,bike,843,170.831,6.38,126.064,27.26995887
3275003,male,run,1740,373,6.43,144.016,13.34422709
993057,male,bike,3042,877,23,137.482,29.29089858
10917968,male,run,3662,633,11.27,155.968,11.26580169
2719148,male,run,4371,934,12.5,151.216,10.17485912
3021311,male,run,4068,754,12.38,139.32,10.91068663
1413935,male,run,1390,351.41,5.03,149.962,13.00561018
