userId,gender,sport,duration,calories,distance,avg_heart_rate,avg_speed
13577416,male,run,1837,459,5.42,161.454,11.220028707
3235195,male,run,2814,868,9.99,160.83,12.655653861
3714939,male,bike,1619,296,15.06,128.952,33.603039171
1520156,male,run,3978,658,12.95,144.386,11.710389918
11884453,male,run,2929,617,10.33,149.358,12.741555621
260784,male,bike,7959,1645.5,65.62,132.01,30.010831413
11737814,male,bike,905,149.995,4.62,113.452,18.360298128
732008,male,run,4404,825,12.15,151.236,9.934578949
3680369,male,run,4291,770,10.19,154.626,8.451369914
14370069,male,run,2707,471,7.52,133.214,10.172496981
764981,male,bike,1220,195,8.81,149.896,26.638943664
16786,male,run,2828,590,9.05,146.042,11.542616385
3714939,male,bike,2368,371,18.77,123.038,28.299357833
4007546,male,run,2364,620.846,6.71,149.4,10.275037476
2175400,male,run,3542,560,8.91,152.5,9.157783257
3060590,male,run,3521,773,11.95,144.964,12.219952691
3445572,male,bike,3473,499,22.96,137.378,23.658493929
171814,male,mountain bike,8712,1441.81,49.9,114.052,22.752870655
1682336,male,run,4126,500,9.98,125.068,8.734514558
1707239,male,run,4916,632,13.6,125.972,9.972016129
3714939,male,bike,1742,266,15.05,120.994,30.41936922
3714939,male,bike,1830,295,15.08,125.742,29.135250395
11215534,male,run,3615,555,11.09,143.918,11.127779643
3324472,male,bike,10098,1626,85.77,127.386,30.572207699
9221677,male,run,4477,1016,14.13,156.916,11.551062487
7178673,female,run,4423,945,15.42,173.494,12.655941705
3021311,male,run,4079,859,12.85,141.402,11.33386011
4443471,male,run,7170,1443,22.5,140.494,11.161848652
860533,male,run,7656,1483,20.85,155.132,9.813537637
2282039,male,run,3989,964,15.77,151.08,14.355751383
6788906,male,bike,2382,358,16.55,133.824,25.840143563
65547,male,bike,10954,1729,100.01,152.656,32.857678426
3714939,male,bike,1780,289,15.07,125.38,30.443302798
432096,female,run,3232,374,8.43,134.064,9.313837831
11782156,unknown,bike,4993,759,29.5,152.438,24.643601899
