userId,gender,sport,duration,calories,distance,avg_heart_rate,avg_alti,change_alti,max_alti,min_alti,avg_speed
11889307,unknown,bike,6645,530,46.04,102.558,17.2844,716.2,57.2,-11.8,30.975837915
1912029,female,run,4644,848.631,10.89,163.444,498.3672,272.4,515.8,475.8,8.447024042
4584909,male,run,6197,1660,16.01,156.7,132.4036,459.2,175.6,115.4,9.184510399
80101,male,run,2434,785,9.92,179.794,5.583602016,99.59989,12,-6.79999,14.782553620
3987593,male,bike,4557,1203,30,163.164,791.1992,361.800000000,800.4,784.8,23.559545231
11884453,male,run,2919,694.28,9.92,148.186,27.4388,97.200000000,29.6,21,12.515955735
2849785,male,bike,2257,405,18.19,129.482,22.174,220.800000000,48.8,-2.4,29.857999757
2894897,male,run,5497,1057.98,15.81,130.052,-48.7392,191.6,-36.4,-53.4,10.336465737
9051351,male,bike,5124,1762.83,40.34,148.542,409.8256,214.2,451,394.6,30.012072477
7038373,male,run,5037,1038.85,16.01,133.51,336.983708,451.681,398,303,11.609558188
2587574,male,run,1620,261,6.2,140.81,7.9596,78.000000000,14.2,1.6,13.756149520
5971071,male,bike,8489,1688,68.94,147.986,225.4088,722.8,346.2,200.6,29.444430553
8875079,male,run,4295,754,11.97,134.566,95.398,140.4,135.8,83.8,10.197659893
12913419,male,run,917,207.957,2.46,137.312,-47.6537926,55,-39,-53,9.678762097
1058434,male,run,3690,671,11.28,158.192,-3.114,153.2,0.4,-86.2,11.274187737
2419254,male,bike,2739,395,17.61,121.096,-7.7212,264.6,23,-23.4,22.381078522
6883061,male,run,3619,707,11.1,134.814,100.3876,226.4,130.2,63.6,10.942412519
14671923,male,bike,1197,243.31,7.8,138.352,10.539,79.000000000,15,7,23.488594592
5346265,male,bike,2556,651,10,120.97,22.8964,225.800000000,31.6,4,14.166996342
1295505,male,run,3826,1018,14.05,162.092,48.7028,241,75,34.8,13.208200443
58536,male,bike,5402,1464,30.65,164.878,-5.9328,901.600000000,7.6,-13.2,20.392500136
